Cancer Type,Gender,Race,Year,Survival Rate
Lung and bronchus,total,White,1977,0.123
Myeloma,total,White,1977,0.241
Ovary,total,White,1977,0.353
Pancreas,total,White,1977,0.025
Prostate,total,White,1977,0.685
Skin,total,White,1977,0.82
Stomach,total,White,1977,0.141
Thyroid,total,White,1977,0.918
Lung and bronchus,total,White,1980,0.129
Myeloma,total,White,1980,0.248
Ovary,total,White,1980,0.369
Pancreas,total,White,1980,0.025
Prostate,total,White,1980,0.712
Skin,total,White,1980,0.829
Stomach,total,White,1980,0.154
Thyroid,total,White,1980,0.915
Lung and bronchus,total,White,1983,0.133
Myeloma,total,White,1983,0.272
Ovary,total,White,1983,0.385
Pancreas,total,White,1983,0.025
Prostate,total,White,1983,0.731
Skin,total,White,1983,0.827
Stomach,total,White,1983,0.162
Thyroid,total,White,1983,0.931
Lung and bronchus,total,White,1986,0.13
Myeloma,total,White,1986,0.26
Ovary,total,White,1986,0.375
Pancreas,total,White,1986,0.026
Prostate,total,White,1986,0.764
Skin,total,White,1986,0.864
Stomach,total,White,1986,0.168
Thyroid,total,White,1986,0.932
Lung and bronchus,total,White,1989,0.133
Myeloma,total,White,1989,0.269
Ovary,total,White,1989,0.382
Pancreas,total,White,1989,0.032
Prostate,total,White,1989,0.844
Skin,total,White,1989,0.879
Stomach,total,White,1989,0.183
Thyroid,total,White,1989,0.941
Lung and bronchus,total,White,1992,0.14
Myeloma,total,White,1992,0.284
Ovary,total,White,1992,0.404
Pancreas,total,White,1992,0.044
Prostate,total,White,1992,0.941
Skin,total,White,1992,0.893
Stomach,total,White,1992,0.188
Thyroid,total,White,1992,0.949
Lung and bronchus,total,White,1995,0.145
Myeloma,total,White,1995,0.305
Ovary,total,White,1995,0.406
Pancreas,total,White,1995,0.039
Prostate,total,White,1995,0.959
Skin,total,White,1995,0.896
Stomach,total,White,1995,0.2
Thyroid,total,White,1995,0.956
Lung and bronchus,total,White,1998,0.148
Myeloma,total,White,1998,0.322
Ovary,total,White,1998,0.433
Pancreas,total,White,1998,0.041
Prostate,total,White,1998,0.979
Skin,total,White,1998,0.909
Stomach,total,White,1998,0.203
Thyroid,total,White,1998,0.959
Lung and bronchus,total,White,2001,0.155
Myeloma,total,White,2001,0.345
Ovary,total,White,2001,0.436
Pancreas,total,White,2001,0.05
Prostate,total,White,2001,0.997
Skin,total,White,2001,0.922
Stomach,total,White,2001,0.223
Thyroid,total,White,2001,0.969
Lung and bronchus,total,White,2006,0.171
Myeloma,total,White,2006,0.443
Ovary,total,White,2006,0.439
Pancreas,total,White,2006,0.062
Prostate,total,White,2006,0.998
Skin,total,White,2006,0.932
Stomach,total,White,2006,0.269
Thyroid,total,White,2006,0.978
Lung and bronchus,total,White,2013,0.196
Myeloma,total,White,2013,0.506
Ovary,total,White,2013,0.462
Pancreas,total,White,2013,0.089
Prostate,total,White,2013,0.996
Skin,total,White,2013,0.936
Stomach,total,White,2013,0.299
Thyroid,total,White,2013,0.984
